iata,name,city,state,country,latitude,longitude
00AA,AERO B RANCH,LEOTI,KS,USA,38.70402222,-101.47391111
00AK,LOWELL FLD,ANCHOR POINT,AK,USA,59.94888888,-151.69222222
00AL,EPPS AIRPARK,HARVEST,AL,USA,34.86481027,-86.7702775
00AN,KATMAI LODGE,KING SALMON,AK,USA,59.09347222,-156.45583333
00AR,ARLAND,BENNINGTON,KS,USA,38.96965108,-97.60155661
00AS,FULTON,ALEX,OK,USA,34.94280277,-97.81801944
00C,ANIMAS AIR PARK,DURANGO,CO,USA,37.20317833,-107.86919527
00CA,GOLDSTONE /GTS/,BARSTOW,CA,USA,35.35497222,-116.88520833
00CL,WILLIAMS AG,BIGGS,CA,USA,39.42718888,-121.76342777
00F,BROADUS,BROADUS,MT,USA,45.47047222,-105.45713888
00FA,GRASS PATCH,BUSHNELL,FL,USA,28.64554722,-82.218975
00FL,RIVER OAK,OKEECHOBEE,FL,USA,27.23087972,-80.96923055
00GA,LT WORLD,LITHONIA,GA,USA,33.7675,-84.06833333
00ID,DELTA SHORES,CLARK FORK,ID,USA,48.14527777,-116.21444444
00IG,GOLTL,MCDONALD,KS,USA,39.72402777,-101.39599444
00IL,HAMMER,POLO,IL,USA,41.97836333,-89.56038833
00IS,HAYENGA'S CANT FIND FARMS,KINGS,IL,USA,40.025595,-89.12286472
00KS,HAYDEN FARM,GARDNER,KS,USA,38.72778666,-94.93051972
00KY,ROBBINS ROOST,STANFORD,KY,USA,37.40944444,-84.61972222
00LS,LEJEUNE,ESTERWOOD,LA,USA,30.13627777,-92.42936111
00M,THIGPEN FLD,BAY SPRINGS,MS,USA,31.95375,-89.23533333
00MD,SLATER FLD,FEDERALSBURG,MD,USA,38.75705777,-75.75382083
00MN,BATTLE LAKE MUNI,BATTLE LAKE,MN,USA,46.29996027,-95.70032416
00MO,COOPER FLYING SERVICE,ALBA,MO,USA,37.20283472,-94.41244777
00N,BUCKS,BRIDGETON,NJ,USA,39.47373919,-75.18456752
00NC,NORTH RALEIGH,LOUISBURG,NC,USA,36.08515027,-78.37138555
00NY,WEISS AIRFIELD,WEST BLOOMFIELD,NY,USA,42.89586111,-77.49516111
00OK,GULL BAY LANDING,SANDSPRINGS,OK,USA,36.198918,-96.217682
00PN,FERRELL FLD,MERCER,PA,USA,41.2995,-80.21111111
00R,LIVINGSTON MUNI,LIVINGSTON,TX,USA,30.68586111,-95.01791666
00S,MC KENZIE BRIDGE STATE,MC KENZIE BRIDGE,OR,USA,44.18155555,-122.08555555
00SC,FLYING O,SUMTER,SC,USA,34.00944444,-80.26722222
00SD,HOMAN FLD,GARY,SD,USA,44.80915833,-96.49889722
00TN,THOMPSON FARMS,LEBANON,TN,USA,36.12045105,-86.35953227
00TS,ALPINE RANGE,EVERMAN,TX,USA,32.60793888,-97.24232222
00TT,NOWHERE,GOODLETT,TX,USA,34.516606,-99.9369405
00TX,DELVA FLD,VAN,TX,USA,32.544452,-95.67313
00U,BIG HORN COUNTY,HARDIN,MT,USA,45.74438888,-107.66044444
00VA,VAUGHAN,ALTON,VA,USA,36.576,-78.99916666
00VI,GROUNDHOG MOUNTAIN,HILLSVILLE,VA,USA,36.66333333,-80.4995
00W,LOWER GRANITE STATE,COLFAX,WA,USA,46.67275,-117.44166666
00WA,HOWELL,LONGBRANCH,WA,USA,47.17843055,-122.7718
00WI,NORTHERN LITE,WAUPACA,WI,USA,44.304285,-89.05011361
00WN,HAWKS RUN,ASOTIN,WA,USA,46.25,-117.249
00WV,LAZY J AERODROME,BEVERLY,WV,USA,38.82888888,-79.86611111
00XA,WEESKI RANCH,HEMPSTEAD,TX,USA,30.2240375,-96.01415277
01A,PURKEYPILE,PURKEYPILE,AK,USA,62.94075555,-152.26960972
01AA,DONLIN CREEK,CROOKED CREEK,AK,USA,62.03242277,-158.23623166
01AL,WARE ISLAND,CLANTON,AL,USA,32.94595611,-86.51386833
01AN,MC HONE HEIGHTS,WASILLA,AK,USA,61.64902777,-149.33902777
01CL,SWANSBORO COUNTRY,PLACERVILLE,CA,USA,38.79990222,-120.73437555
01CN,COLEMAN HOMESTEAD,TALKEETNA,AK,USA,62.10698194,-150.10929861
01FA,RYBOLT RANCH,ORLANDO,FL,USA,28.58944361,-81.14423027
01FL,CEDAR KNOLL FLYING RANCH,GENEVA,FL,USA,28.78193611,-81.15922777
01G,PERRY-WARSAW,PERRY,NY,USA,42.74134861,-78.05214805
01GE,THE FARM,WRIGHTSVILLE,GA,USA,32.67515138,-82.77099533
01ID,LAVA HOT SPRINGS AIRPARK,LAVA HOT SPRINGS,ID,USA,42.6080018,-112.03307902
01IS,WILLIAM E KOENIG,DOW,IL,USA,39.01615833,-90.31816861
01J,HILLIARD AIRPARK,HILLIARD,FL,USA,30.68596666,-81.90634305
01K,CALDWELL MUNI,CALDWELL,KS,USA,37.03661111,-97.58555555
01LA,BARHAM,OAK RIDGE,LA,USA,32.63902694,-91.77373611
01M,TISHOMINGO COUNTY,BELMONT,MS,USA,34.49179138,-88.2012025
01MT,CRYSTAL LAKES RESORT,FORTINE,MT,USA,48.78913194,-114.88043638
01NC,TOPSAIL AIRPARK,HOLLY RIDGE,NC,USA,34.47527777,-77.58138888
01NH,MOORE AIRFIELD,CANAAN,NH,USA,43.64451666,-72.08703055
01NK,GRANVILLE,GRANVILLE,NY,USA,43.42294444,-73.268025
01NM,CHAMPION RANCH,ARTESIA,NM,USA,33.00861111,-104.54027777
01NV,LANTANA RANCH,YERINGTON,NV,USA,38.76388888,-119.02722222
